estimator,label,N,T,split,alpha,current_date,target_window_start,target_date,example,component,loss
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-06-03,2020-03-04,2021-08-03,356,flag_nested,0.007806888065365028
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-06-23,2020-03-24,2021-08-23,357,market_1,0.001120238347590341
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-06-23,2020-03-24,2021-08-23,357,block_2_3,0.005789852320373101
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-06-23,2020-03-24,2021-08-23,357,block_4_6,0.025662356482198796
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-06-23,2020-03-24,2021-08-23,357,top_3,0.003982367693073326
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-06-23,2020-03-24,2021-08-23,357,top_6,0.013963948729197373
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-06-23,2020-03-24,2021-08-23,357,flag_nested,0.006355518256620347
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-07-14,2020-04-15,2021-09-13,358,market_1,0.0009732798132640053
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-07-14,2020-04-15,2021-09-13,358,block_2_3,0.006356798733894831
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-07-14,2020-04-15,2021-09-13,358,block_4_6,0.024466876653362817
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-07-14,2020-04-15,2021-09-13,358,top_3,0.004458064369571524
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-07-14,2020-04-15,2021-09-13,358,top_6,0.013776718723871095
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-07-14,2020-04-15,2021-09-13,358,flag_nested,0.006402687635568875
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-08-03,2020-05-05,2021-10-01,359,market_1,0.001064512060401035
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-08-03,2020-05-05,2021-10-01,359,block_2_3,0.004595371463592679
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-08-03,2020-05-05,2021-10-01,359,block_4_6,0.02110682381766586
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-08-03,2020-05-05,2021-10-01,359,top_3,0.003405879607835338
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-08-03,2020-05-05,2021-10-01,359,top_6,0.011928185891596943
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-08-03,2020-05-05,2021-10-01,359,flag_nested,0.005466192519944439
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-08-23,2020-05-26,2021-10-21,360,market_1,0.0016433131654425281
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-08-23,2020-05-26,2021-10-21,360,block_2_3,0.00606170979231091
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-08-23,2020-05-26,2021-10-21,360,block_4_6,0.02009888948575922
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-08-23,2020-05-26,2021-10-21,360,top_3,0.004223610968437559
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-08-23,2020-05-26,2021-10-21,360,top_6,0.011417621385324317
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-08-23,2020-05-26,2021-10-21,360,flag_nested,0.0057615151730681345
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-09-13,2020-06-15,2021-11-10,361,market_1,0.0014238366883546627
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-09-13,2020-06-15,2021-11-10,361,block_2_3,0.005105639026382058
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-09-13,2020-06-15,2021-11-10,361,block_4_6,0.03671912439324935
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-09-13,2020-06-15,2021-11-10,361,top_3,0.003612762900201775
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-09-13,2020-06-15,2021-11-10,361,top_6,0.019489326652077033
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-09-13,2020-06-15,2021-11-10,361,flag_nested,0.008175308746877823
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-10-01,2020-07-06,2021-12-01,362,market_1,0.001036707965022754
